chlorides,quality
0.076,5
0.098,5
0.092,5
0.075,6
0.076,5
0.075,5
0.069,5
0.065,7
0.073,7
0.071,5
0.097,5
0.071,5
0.089,5
0.114,5
0.176,5
0.17,5
0.092,7
0.368,5
0.086,4
0.341,6
0.077,6
0.082,5
0.106,5
0.084,5
0.085,6
0.08,5
0.08,5
0.106,5
0.08,5
0.082,6
0.089,5
0.105,6
0.083,5
0.073,6
0.103,5
0.086,6
0.086,6
0.066,7
0.172,4
0.074,5
0.074,5
0.088,4
0.332,6
0.069,5
0.05,5
0.054,4
0.114,5
0.113,5
0.066,5
0.074,5
0.074,5
0.069,6
0.068,6
0.081,5
0.11,6
0.084,5
0.07,5
0.111,5
0.076,5
0.074,6
0.079,5
0.115,5
0.085,7
0.081,5
0.086,5
0.086,5
0.079,5
0.076,5
0.074,5
0.074,6
0.076,6
0.088,5
0.084,5
0.084,4
0.094,5
0.093,5
0.093,5
0.104,6
0.086,5
0.08,4
0.069,5
0.464,5
0.086,5
0.401,5
0.069,6
0.076,5
0.11,6
0.062,5
0.107,5
0.076,5
0.079,5
0.11,6
0.11,5
0.062,5
0.045,4
0.058,6
0.102,5
0.07,5
0.079,5
0.08,6
0.084,6
0.075,6
0.08,6
0.077,5
0.07,5
0.077,5
0.467,5
0.088,5
0.091,6
0.122,5
0.104,5
0.084,5
0.085,5
0.08,6
0.104,5
0.09,6
0.077,6
0.082,6
0.119,6
0.097,6
0.178,5
0.119,6
0.075,5
0.08,5
0.082,5
0.146,5
0.081,5
0.082,5
0.065,7
0.072,5
0.118,5
0.049,5
0.049,5
0.06,6
0.084,6
0.09,5
0.089,5
0.081,5
0.081,5
0.081,5
0.09,5
0.089,5
0.05,6
0.066,5
0.05,6
0.117,5
0.087,5
0.236,5
0.074,6
0.089,6
0.077,6
0.61,4
0.095,5
0.095,5
0.07,5
0.071,5
0.07,5
0.071,5
0.073,5
0.079,6
0.09,5
0.072,4
0.076,6
0.07,5
0.07,5
0.1,5
0.085,5
0.072,4
0.089,6
0.36,5
0.058,4
0.073,6
0.073,6
0.068,6
0.08,5
0.085,5
0.08,5
0.087,6
0.068,5
0.067,5
0.067,5
0.27,5
0.076,5
0.077,5
0.079,6
0.111,5
0.082,5
0.084,5
0.084,5
0.082,5
0.077,5
0.074,6
0.099,5
0.071,5
0.071,5
0.074,5
0.074,5
0.067,6
0.046,7
0.061,4
0.056,7
0.097,5
0.075,5
0.088,5
0.089,6
0.095,7
0.095,7
0.069,5
0.1,5
0.054,7
0.039,6
0.083,6
0.059,6
0.06,5
0.092,6
0.06,5
0.101,5
0.072,5
0.076,5
0.08,5
0.082,6
0.101,5
0.057,5
0.083,6
0.089,4
0.073,6
0.337,6
0.089,5
0.073,6
0.081,5
0.054,7
0.078,6
0.09,6
0.081,5
0.065,6
0.097,6
0.097,6
0.097,6
0.097,6
0.065,6
0.263,5
0.093,6
0.102,6
0.075,7
0.075,7
0.084,6
0.075,5
0.072,5
0.074,6
0.084,6
0.063,6
0.074,6
0.09,5
0.092,5
0.074,6
0.073,5
0.075,5
0.075,5
0.611,5
0.085,7
0.077,5
0.087,4
0.07,5
0.077,5
0.064,5
0.071,7
0.096,4
0.078,8
0.077,6
0.104,6
0.087,6
0.104,6
0.071,5
0.076,5
0.088,5
0.087,6
0.077,6
0.104,6
0.073,8
0.087,7
0.071,6
0.358,7
0.067,5
0.087,7
0.102,5
0.102,5
0.073,6
0.092,6
0.091,7
0.105,5
0.091,7
0.343,5
0.091,6
0.098,6
0.094,6
0.073,5
0.086,5
0.083,5
0.094,5
0.08,5
0.086,6
0.068,6
0.092,5
0.186,5
0.112,5
0.063,6
0.082,5
0.213,6
0.214,6
0.062,6
0.063,6
0.072,6
0.093,6
0.076,5
