citric acid,quality
0,5
0,5
0.04,5
0.56,6
0,5
0,5
0.06,5
0,7
0.02,7
0.36,5
0.08,5
0.36,5
0,5
0.29,5
0.18,5
0.19,5
0.56,7
0.28,5
0.08,4
0.51,6
0.48,6
0.31,5
0.21,5
0.11,5
0.14,6
0.16,5
0.24,5
0.21,5
0,5
0,6
0.07,5
0,6
0.12,5
0.12,6
0.25,5
0,6
0.14,6
0.28,7
0.09,4
0.36,5
0.36,5
0.3,4
0.2,6
0.22,5
0.02,5
0.15,4
0.43,5
0.52,5
0.23,5
0.37,5
0.26,5
0.04,6
0.04,6
0.36,5
0.15,6
0.04,5
0.57,5
0.12,5
0.18,5
0.31,6
0.4,5
0.49,5
0.16,7
0.05,5
0.05,5
0.05,5
0.11,5
0.07,5
0.57,5
0.05,6
0.08,6
0.23,5
0.22,5
0.26,4
0.54,5
0.64,5
0.64,5
0,6
0.12,5
0.2,4
0.2,5
0.7,5
0.47,5
0.26,5
0.48,6
0.15,5
0.28,6
0.26,5
0.44,5
0.08,5
0.26,5
0.28,6
0.29,5
0.26,5
0.04,4
0.17,6
0,5
0.25,5
0.06,5
0.18,6
0.3,6
0.3,6
0.18,6
0.22,5
0.24,5
0.22,5
0.68,5
0.31,5
0.53,6
0.52,5
0.19,5
0.09,5
0.1,5
0.44,6
0.19,5
0.31,6
0.28,6
0.12,6
0.04,6
0.08,6
0.09,5
0.04,6
0,5
0,5
0.17,5
0.04,5
0,5
0,5
0.16,7
0.15,5
0.56,5
0.09,5
0.09,5
0.01,6
0.05,6
0.11,5
0.15,5
0.36,5
0.19,5
0.19,5
0.11,5
0.15,5
0,6
0.08,5
0,6
0.55,5
0.02,5
0.26,5
0.1,6
0.44,6
0.47,6
1,4
0.03,5
0.03,5
0.42,5
0.42,5
0.42,5
0.42,5
0,5
0.18,6
0.03,5
0.02,4
0.04,6
0.26,5
0.26,5
0.48,5
0.1,5
0.03,4
0.07,6
0.24,5
0.03,4
0.17,6
0.17,6
0.05,6
0.21,5
0.04,5
0.21,5
0.42,6
0,5
0.14,5
0.14,5
0.49,5
0.02,5
0.2,5
0.21,6
0.57,5
0.48,5
0.1,5
0.33,5
0.32,5
0.35,5
0.25,6
0.12,5
0.21,5
0.21,5
0.33,5
0.3,5
0.6,6
0.08,7
0.06,4
0.47,7
0.48,5
0.11,5
0.35,5
0.36,6
0.74,7
0.74,7
0.31,5
0.28,5
0.58,7
0.6,6
0.24,6
0.64,6
0.26,5
0.08,6
0.49,5
0.16,5
0.22,5
0.19,5
0.33,5
0.37,6
0.26,5
0.04,5
0.25,6
0.36,4
0.25,6
0.5,6
0.14,5
0.25,6
0.25,5
0.04,7
0.06,6
0.2,6
0.25,5
0.09,6
0,6
0,6
0,6
0,6
0.09,6
0.37,5
0.56,6
0.1,6
0.44,7
0.44,7
0,6
0.07,5
0.17,5
0.06,6
0,6
0.44,6
0,6
0.48,5
0.42,5
0,6
0.23,5
0.37,5
0,5
0.76,5
0.47,7
0.23,5
0.04,4
0.03,5
0.23,5
0.49,5
0.52,7
0,4
0.46,8
0.04,6
0.51,6
0.06,6
0.51,6
0.58,5
0.2,5
0.18,5
0.06,6
0.04,6
0.51,6
0.45,8
0.32,7
0.44,6
0.68,7
0.12,5
0.32,7
0.07,5
0.07,5
0.55,6
0.12,6
0.09,7
0.53,5
0.09,7
0.48,5
0.23,6
0.25,6
0.52,6
0.46,5
0.37,5
0.06,5
0.02,5
0.06,5
0.06,6
0.48,6
0.12,5
0.12,5
0.6,5
0.48,6
0.32,5
0.42,6
0.44,6
0.38,6
0.48,6
0.24,6
0.31,6
0.3,5
0.29,5
0.29,6
0.23,5
0.12,6
0.39,7
0.12,6
0.39,7
0.26,5
0.05,5
0.42,6
0.2,6
0.2,6
0.66,7
0.5,5
0.62,6
0.39,5
0.64,6
0.64,6
0.28,6
0.08,5
0.01,7
0.53,7
0.45,6
0.32,5
0.58,6
0.54,7
0.5,6
0.48,6
0.47,6
0.47,6
0.5,6
0,5
0.02,7
0.67,6
0.31,6
0,6
0.22,6
0,6
0,5
0.79,5
0.4,6
0.01,6
0.52,5
0.66,7
0.66,7
0.66,6
0.23,5
0.31,6
0.66,5
0.63,5
0.66,7
0.5,6
0.66,7
0.61,5
0.52,5
0.53,7
0.02,5
0.4,6
0.48,6
0.22,5
0.63,6
0.71,7
0.5,6
0.53,7
0.66,6
0.38,6
0.42,6
0.68,6
0.42,6
0.42,6
0.28,5
0.07,6
0.26,6
0.15,6
0.26,6
0.31,7
0.05,8
0.68,6
0.52,5
0.61,5
0.65,5
0.76,7
0.02,5
0.59,6
