density,quality
0.9978,5
0.9968,5
0.997,5
0.998,6
0.9978,5
0.9978,5
0.9964,5
0.9946,7
0.9968,7
0.9978,5
0.9959,5
0.9978,5
0.9943,5
0.9974,5
0.9986,5
0.9986,5
0.9969,7
0.9968,5
0.9974,4
0.9969,6
0.9968,6
0.9982,5
0.9966,5
0.9968,5
0.9968,6
0.9955,5
0.9962,5
0.9966,5
0.9972,5
0.9964,6
0.9958,5
0.9966,6
0.9966,5
0.9993,6
0.9957,5
0.9986,6
0.9975,6
0.9968,7
0.994,4
0.9978,5
0.9978,5
0.9976,4
0.9968,6
0.9968,5
0.9962,5
0.9934,4
0.997,5
0.9969,5
0.9958,5
0.9954,5
0.9971,5
0.9956,6
0.9955,6
0.997,5
0.9955,6
0.9978,5
0.9971,5
0.9983,5
0.9975,5
0.9962,6
0.998,5
0.9968,5
0.9968,7
0.9966,5
0.9962,5
0.9962,5
0.9968,5
0.9962,5
0.9969,5
0.9962,6
0.9967,6
0.9962,5
0.9961,5
0.9976,4
0.9984,5
0.9986,5
0.9986,5
0.9966,6
0.9958,5
0.9972,4
0.9958,5
0.9974,5
0.997,5
0.9969,5
0.9959,6
0.9961,5
0.9972,6
0.9966,5
0.9978,5
0.9978,5
0.9964,5
0.9972,6
0.9972,5
0.9966,5
0.9938,4
0.9932,6
0.9965,5
0.9963,5
0.9967,5
0.9972,6
0.9972,6
0.9959,6
0.9972,6
0.9967,5
0.996,5
0.9967,5
0.9973,5
0.9969,5
0.9976,6
0.9969,5
0.9964,5
0.9964,5
0.9964,5
0.9988,6
0.9964,5
0.9966,6
0.9978,6
0.997,6
0.9962,6
0.9959,6
0.9962,5
0.9962,6
0.998,5
0.9976,5
0.996,5
0.9984,5
0.9964,5
0.9964,5
0.9962,7
0.9955,5
0.9968,5
0.9937,5
0.9937,5
0.9952,6
0.9959,6
0.9965,5
0.9968,5
0.9972,5
0.9962,5
0.9962,5
0.9965,5
0.9968,5
0.9916,6
0.9954,5
0.9916,6
0.9968,5
0.9944,5
0.9968,5
0.9959,6
0.9975,6
0.9958,6
0.9996,4
0.995,5
0.995,5
0.9973,5
0.9973,5
0.9973,5
0.9973,5
0.9969,5
0.9968,6
0.9959,5
0.9965,4
0.9964,6
0.9982,5
0.9981,5
0.9961,5
0.9956,5
0.9956,4
0.9953,6
0.9964,5
0.9972,4
0.9972,6
0.9972,6
0.9961,6
0.9961,5
0.9958,5
0.9961,5
0.9972,6
0.9969,5
0.9969,5
0.9969,5
0.9972,5
0.9972,5
0.9971,5
0.997,6
0.9971,5
0.9972,5
0.9976,5
0.9968,5
0.9968,5
0.9976,5
0.9974,6
0.9969,5
0.9964,5
0.9964,5
0.9968,5
0.9968,5
0.9981,6
0.9924,7
0.9948,4
0.99695,7
0.9975,5
0.99545,5
0.9961,5
0.99615,6
0.9994,7
0.9994,7
0.99625,5
0.9966,5
0.998,7
0.99585,6
0.99685,6
0.998,6
0.9959,5
0.9974,6
0.9974,5
0.9962,5
0.9967,5
0.9957,5
0.99655,5
0.9964,6
0.9957,5
0.99525,5
0.99815,6
0.99745,4
0.99615,6
0.9964,6
0.9984,5
0.99615,6
0.99685,5
0.9927,7
0.99625,6
0.998,6
0.99685,5
0.99685,6
0.99675,6
0.99675,6
0.99675,6
0.99675,6
0.99685,6
0.9971,5
0.99925,6
0.99565,6
1.00005,7
1.00005,7
0.9983,6
0.99685,5
0.9963,5
0.99615,6
0.9983,6
0.9985,6
0.9972,6
0.9986,5
0.9959,5
0.9972,6
0.99675,5
0.998,5
0.9968,5
0.9968,5
0.99965,7
0.99625,5
0.99565,4
0.99575,5
0.9963,5
0.9999,5
0.9968,7
1.00025,4
0.9973,8
0.9987,6
0.9996,6
0.9965,6
0.9996,6
0.99935,5
0.99735,5
0.99915,5
0.9965,6
0.9987,6
0.9996,6
0.9976,8
0.9991,7
0.9986,6
0.9972,7
0.9971,5
0.9991,7
1.00015,5
1.00015,5
0.9997,6
0.9967,6
0.9976,7
1.001,5
0.9976,7
0.9979,5
0.9994,6
