free sulfur dioxide,quality
11,5
25,5
15,5
17,6
11,5
13,5
15,5
15,7
9,7
17,5
15,5
17,5
16,5
9,5
52,5
51,5
35,7
16,5
6,4
17,6
29,6
23,5
10,5
9,5
21,6
11,5
4,5
10,5
14,5
8,6
17,5
22,6
15,5
40,6
13,5
5,6
3,6
13,7
7,4
12,5
12,5
17,4
8,6
9,5
5,5
8,4
22,5
12,5
5,5
12,5
4,5
8,6
6,6
30,5
33,6
25,5
4,5
50,5
17,5
9,6
19,5
20,5
12,7
13,5
4,5
4,5
11,5
6,5
27,5
8,6
15,6
17,5
18,5
11,4
28,5
9,5
9,5
14,6
12,5
27,4
3,5
22,5
21,5
16,5
18,6
19,5
20,6
9,5
34,5
8,5
42,5
20,6
19,5
9,5
41,4
17,6
8,5
3,5
5,5
13,6
11,6
8,6
13,6
12,5
5,5
12,5
18,5
15,5
18,6
37,5
12,5
11,5
14,5
22,6
12,5
13,6
11,6
7,6
14,6
22,6
10,5
14,6
3,5
11,5
21,5
27,5
3,5
3,5
3,7
6,5
30,5
17,5
17,5
17,6
13,6
16,5
10,5
13,5
15,5
17,5
16,5
10,5
27,6
3,5
27,6
32,5
21,5
10,5
12,6
11,6
5,6
32,4
25,5
25,5
29,5
28,5
29,5
28,5
12,5
18,6
7,5
9,4
17,6
36,5
35,5
14,5
18,5
17,4
11,6
15,5
4,4
6,6
6,6
24,6
7,5
19,5
7,5
8,6
7,5
10,5
10,5
23,5
16,5
11,5
8,6
26,5
14,5
9,5
15,5
17,5
21,5
21,6
16,5
7,5
7,5
24,5
15,5
12,6
13,7
12,4
9,7
39,5
16,5
16,5
14,6
9,7
9,7
26,5
18,5
7,7
5,6
10,6
5,6
28,5
10,6
26,5
13,5
11,5
10,5
24,5
24,6
16,5
5,5
8,6
15,4
29,6
27,6
9,5
29,6
10,5
19,7
12,6
18,6
10,5
7,6
14,6
14,6
15,6
14,6
7,6
5,5
6,6
28,6
10,7
10,7
6,6
16,5
11,5
9,6
6,6
16,6
16,6
5,5
8,5
16,6
17,5
5,5
12,5
8,5
14,7
18,5
12,4
10,5
23,5
5,5
6,7
26,4
15,8
7,6
4,6
27,6
4,6
17,5
10,5
27,5
27,6
7,6
4,6
5,8
10,7
6,6
5,7
12,5
10,7
32,5
32,5
25,6
29,6
20,7
33,5
20,7
6,5
18,6
5,6
17,6
5,5
26,5
8,5
5,5
8,5
20,6
7,6
12,5
5,5
12,5
6,6
7,5
6,6
5,6
9,6
6,6
15,6
19,6
30,5
26,5
20,6
37,5
30,6
21,7
30,6
21,7
25,5
6,5
35,6
13,6
13,6
6,7
5,5
6,6
7,5
10,6
10,6
21,6
16,5
17,7
7,7
6,6
29,5
28,6
12,7
10,6
5,6
6,6
6,6
6,6
40,5
17,7
6,6
15,6
11,6
17,6
11,6
8,5
23,5
40.5,6
17,6
29,5
12,7
10,7
10,6
14,5
21,6
6,5
6,5
7,7
7,6
7,7
11,5
15,5
6,7
35,5
11,6
26,6
12,5
6,6
6,7
19,6
6,7
6,6
24,6
11,6
17,6
11,6
11,6
23,5
11,6
23,6
17,6
23,6
16,7
12,8
17,6
6,5
13,5
6,5
7,7
68,5
13,6
13,6
9,5
68,5
20,6
19,6
10,6
15,5
11,6
9,6
12,7
6,6
26,4
26,6
23,5
15,5
6,7
24,5
31,5
6,6
34,5
7,6
34,5
35,7
32,7
15,5
6,7
15,5
32,7
19,6
6,6
9,5
13,6
6,7
21,5
12,6
6,5
22,6
6,5
38,6
6,6
22,6
7,5
6,8
7,6
6,7
11,7
5,7
6,6
31,5
6,5
7,6
17,6
17,6
9,6
18,6
5,7
21,5
6,8
5,5
29,5
5,7
10,3
14,6
6,5
10,5
25,5
5,6
10,5
21,6
7,6
6,6
36,5
15,5
25,6
25,6
5,5
10,6
5,5
6,5
6,6
5,5
6,6
6,5
6,8
6,5
7,5
6,6
6,5
6,5
5,6
35,7
10,6
24,6
12,7
13,7
23,6
28,6
5,8
14,6
43,5
5,8
23,6
14,6
38,7
38,7
6,7
6,7
10,7
6,7
6,6
26,6
23,7
19,5
26,6
15,6
6,7
6,7
34,5
5,6
5,3
11,6
39,5
