sulphates,quality
28.000000000000004,0
34.0,0
32.5,0
28.999999999999996,1
28.000000000000004,0
28.000000000000004,0
23.0,0
23.5,2
28.499999999999996,2
40.0,0
27.0,0
40.0,0
26.0,0
78.0,0
44.0,0
46.5,0
37.5,2
64.0,0
25.0,0
54.0,1
26.5,1
32.5,0
45.5,0
26.5,0
31.5,1
28.000000000000004,0
29.5,0
45.5,0
27.500000000000004,0
29.5,1
27.0,0
28.499999999999996,1
33.0,0
26.0,1
27.500000000000004,0
27.500000000000004,1
30.0,1
36.5,2
24.0,0
41.5,0
41.5,0
25.5,0
45.0,1
60.0,0
26.0,0
28.000000000000004,0
36.5,0
28.999999999999996,0
28.000000000000004,0
28.999999999999996,0
37.0,0
31.5,1
32.0,1
28.000000000000004,0
31.5,1
26.5,0
31.5,0
38.5,0
29.5,0
27.0,1
32.0,0
35.5,0
31.0,2
28.499999999999996,0
19.5,0
19.5,0
28.999999999999996,0
28.999999999999996,0
39.5,0
47.5,1
27.0,1
24.0,0
24.0,0
26.5,0
41.0,0
33.0,0
33.0,0
27.500000000000004,1
26.0,0
56.00000000000001,0
28.000000000000004,0
64.0,0
28.499999999999996,0
56.99999999999999,0
39.0,1
29.5,0
97.5,1
32.0,0
61.0,0
26.5,0
27.0,0
97.5,1
99.0,0
32.0,0
24.0,0
30.0,1
28.000000000000004,0
31.5,0
28.000000000000004,0
29.5,1
30.5,1
28.000000000000004,1
29.5,1
25.5,0
24.0,0
25.5,0
65.5,0
39.5,0
40.0,1
34.5,0
46.5,0
33.0,0
33.0,0
33.5,1
46.5,0
31.5,1
30.5,1
25.0,1
30.0,1
27.0,1
28.499999999999996,0
30.0,1
26.0,0
26.5,0
24.0,0
35.0,0
24.5,0
24.0,0
46.0,2
28.499999999999996,0
33.0,0
31.5,0
31.5,0
28.999999999999996,1
27.500000000000004,1
41.0,0
38.5,0
32.0,0
27.0,0
27.0,0
41.0,0
38.5,0
39.5,1
28.999999999999996,0
39.5,1
31.0,0
26.0,0
40.0,0
28.999999999999996,1
30.5,1
26.5,1
100.0,0
27.0,0
27.0,0
36.0,0
35.5,0
36.0,0
35.5,0
25.0,0
28.499999999999996,1
28.000000000000004,0
54.0,0
28.000000000000004,1
24.5,0
24.5,0
31.0,0
26.0,0
24.0,0
27.500000000000004,1
79.5,0
16.5,0
30.5,1
30.5,1
28.499999999999996,1
23.5,0
39.0,0
23.5,0
30.5,1
28.000000000000004,0
29.5,0
29.5,0
51.0,0
26.0,0
28.999999999999996,0
28.999999999999996,1
26.5,0
27.500000000000004,0
24.5,0
27.500000000000004,0
27.500000000000004,0
31.0,0
31.0,1
30.5,0
27.500000000000004,0
27.500000000000004,0
27.0,0
29.5,0
48.5,1
42.5,2
21.5,0
41.0,2
51.5,0
39.5,0
27.500000000000004,0
28.000000000000004,1
38.5,2
38.5,2
26.5,0
33.5,0
44.0,2
43.0,1
28.000000000000004,1
33.5,1
21.5,0
35.5,1
38.0,0
28.499999999999996,0
27.500000000000004,0
27.0,0
30.0,0
29.5,1
28.499999999999996,0
30.0,0
30.0,1
28.499999999999996,0
28.999999999999996,1
80.5,1
31.5,0
28.999999999999996,1
25.0,0
31.0,2
26.0,1
35.0,1
25.0,0
27.500000000000004,1
28.999999999999996,1
28.999999999999996,1
28.999999999999996,1
28.999999999999996,1
27.500000000000004,1
54.50000000000001,0
35.5,1
24.5,1
42.0,2
42.0,2
48.0,1
26.0,0
22.5,0
24.0,1
48.0,1
